Column Name,Description
country,Nome do país
child_mort,Morte de crianças menores de 5 anos de idade por 1000 nascidos vivos
exports,Exportações de bens e serviços per capita. Dado como % da idade do PIB per capita
health,Gasto total com saúde per capita. Dado como % da idade do PIB per capita
imports,Importação de bens e serviços per capita. Dado como % da idade do PIB per capita
Income,Renda líquida por pessoa
Inflation,A medição da taxa de crescimento anual do PIB total
life_expec,O número médio de anos que uma criança recém-nascida viveria se os padrões atuais de mortalidade permanecessem os mesmos
total_fer,O número de filhos que nasceriam de cada mulher se as atuais taxas de fertilidade por idade permanecessem as mesmas.
gdpp,O PIB per capita. Calculado como o PIB total dividido pela população total.
